17889,State,PopulationLatitude,,Longitude
Alexander City,Alabama,14317,32.9242,-85.9361
Alexandria,Indiana,4968,40.2584,-85.676
Alexandria,Kentucky,9715,38.9621,-84.386
Alexandria,Louisiana,46180,31.2923,-92.4702
Alexandria,Minnesota,13822,45.8777,-95.3766
Alexandria,Missouri,150,40.3598,-91.4595
Alexandria,Nebraska,171,40.2475,-97.3877
Alexandria,Ohio,542,40.0901,-82.612
Alexandria,South Dakota,644,43.654,-97.7799
Alexandria,Tennessee,1012,36.0791,-86.0381
Alexandria,Virginia,159428,38.8185,-77.0861
Alexandria Bay,New York,1028,44.34,-75.9161
Alexis,Illinois,777,41.063,-90.5555
Alford,Florida,463,30.6967,-85.3952
Alfordsville,Indiana,100,38.5608,-86.9482
Alger,Ohio,839,40.7096,-83.8441
Algoma,Mississippi,689,34.1788,-89.0336
Algoma,Wisconsin,7205,44.6057,-87.4465
Algona,Iowa,5397,43.0743,-94.2302
Algona,Washington,3208,47.2819,-122.25
Algonac,Michigan,4037,42.6208,-82.534
Algonquin,Illinois,30897,42.1629,-88.3159
Algood,Tennessee,4463,36.1999,-85.4467
Alhambra,California,83750,34.084,-118.135
Alhambra,Illinois,650,38.8878,-89.7361
Alice,North Dakota,40,46.76,-97.5562
Alice,Texas,18682,27.7556,-98.0653
Aliceville,Alabama,2254,33.1237,-88.1594
Alicia,Arkansas,128,35.8929,-91.0835
Aline,Oklahoma,212,36.5096,-98.4486
Aliquippa,Pennsylvania,8844,40.6155,-80.2547
Aliso Viejo,California,50887,33.5792,-117.729
Allardt,Tennessee,627,36.3811,-84.8814
Allegan,Michigan,5020,42.5299,-85.8462
Alleman,Iowa,452,41.8158,-93.6094
Allen,Kansas,172,38.6552,-96.1696
Allen,Kentucky,172,37.6119,-82.7292
Allen,Michigan,190,41.9584,-84.7673
Allen,Nebraska,349,42.4144,-96.8432
Allen,Oklahoma,926,34.8774,-96.413
Allen,Texas,105623,33.1088,-96.6735
Allen Park,Michigan,26940,42.2595,-83.2107
Allendale,Illinois,477,38.5276,-87.7102
Allendale,Missouri,51,40.4853,-94.2887
Allendale,South Carolina,2924,33.008,-81.3092
Allenhurst,Georgia,716,31.7839,-81.6078
Allentown,Georgia,154,32.5855,-83.2273
Allentown,Pennsylvania,121442,40.5961,-75.4756
Allenville,Illinois,141,39.5585,-88.5383
Allenville,Missouri,122,37.2217,-89.7555
Allerton,Illinois,266,39.9161,-87.9353
Allerton,Iowa,507,40.7077,-93.3689
Allgood,Alabama,650,33.9064,-86.5178
Alliance,Nebraska,8092,42.1025,-102.877
Alliance,North Carolina,758,35.1435,-76.8084
Alliance,Ohio,21446,40.9107,-81.1189
Alligator,Mississippi,187,34.0899,-90.7205
Allison,Iowa,973,42.752,-92.7957
Allouez,Wisconsin,13894,44.4721,-88.0261
Allport,Arkansas,118,34.5399,-91.784
Alma,Arkansas,5864,35.4919,-94.2165
Alma,Colorado,313,39.2861,-106.068
Alma,Georgia,3380,31.5432,-82.4745
Alma,Illinois,303,38.723,-88.9117
Alma,Kansas,780,39.0151,-96.2873
Alma,Michigan,8890,43.38,-84.6556
Alma,Missouri,383,39.0964,-93.5478
Alma,Nebraska,1141,40.1036,-99.3656
Alma,Texas,385,32.2813,-96.5506
Alma,Wisconsin,1089,44.3371,-91.9223
Alma Center,Wisconsin,493,44.437,-90.9128
Almena,Kansas,378,39.8912,-99.7097
Almena,Wisconsin,857,45.4149,-92.0384
Almira,Washington,280,47.7107,-118.937
Almond,Wisconsin,699,44.2607,-89.4087
Almont,Michigan,2795,42.9208,-83.0435
Almont,North Dakota,119,46.7283,-101.503
Almyra,Arkansas,262,34.4057,-91.4108
Alorton,Illinois,1901,38.585,-90.1139
Alpena,Arkansas,397,36.2896,-93.3037
Alpena,Michigan,9956,45.074,-83.4399
Alpena,South Dakota,285,44.183,-98.3683
Alpha,Illinois,635,41.1917,-90.3802
Alpha,Michigan,134,46.044,-88.3776
Alpha,Minnesota,119,43.6381,-94.871
Alpharetta,Georgia,67213,34.0704,-84.2739
Alpine,Texas,5982,30.364,-103.665
Alpine,Utah,10498,40.4629,-111.772
Alpine,Wyoming,924,43.1631,-111.02
Alsen,North Dakota,32,48.6303,-98.7048
Alsey,Illinois,210,39.5593,-90.4329
Alsip,Illinois,18709,41.6701,-87.7368
Alston,Georgia,159,32.081,-82.4789
Alta,Iowa,1903,42.6717,-95.3045
Alta,Utah,379,40.5818,-111.623
Alta Vista,Iowa,252,43.1967,-92.417
Alta Vista,Kansas,424,38.8628,-96.4889
Altamont,Illinois,2339,39.057,-88.7474
Altamont,Kansas,1019,37.1876,-95.2897
Altamont,Missouri,201,39.8885,-94.0867
Altamont,New York,1669,42.7055,-74.034
Altamont,South Dakota,34,44.8408,-96.6901
Altamont,Tennessee,1067,35.4325,-85.7433
Altamont,Utah,277,40.359,-110.288
Altamonte Springs,Florida,44143,28.6615,-81.3953
Altavista,Virginia,3406,37.1232,-79.2858
Altenburg,Missouri,333,37.6304,-89.586
Altha,Florida,492,30.5722,-85.1264
Altheimer,Arkansas,811,34.3242,-91.8481
Alto,Georgia,1198,34.4649,-83.5727
Alto,Texas,1240,31.6509,-95.0708
Alto Pass,Illinois,362,37.5737,-89.3192
Alton,Illinois,26208,38.9034,-90.1523
Alton,Indiana,54,38.1211,-86.4195
Alton,Iowa,1248,42.9876,-96.0095
Alton,Kansas,91,39.4678,-98.9486
Alton,Missouri,834,36.6901,-91.3947
Alton,Texas,18105,26.2884,-98.3098
Alton,Utah,120,37.4303,-112.506
Altona,Illinois,497,41.115,-90.1648
Altona,Indiana,197,41.3522,-85.1526
Altoona,Alabama,913,34.031,-86.3181
Altoona,Iowa,19221,41.6481,-93.4784
Altoona,Kansas,379,37.525,-95.6614
Altoona,Pennsylvania,43364,40.5082,-78.4007
Altoona,Wisconsin,7870,44.8029,-91.4385
Altura,Minnesota,476,44.0642,-91.9435
Alturas,California,2563,41.4898,-120.552
Altus,Arkansas,729,35.4465,-93.7643
Altus,Oklahoma,18338,34.6566,-99.3051
Alva,Oklahoma,4953,36.7892,-98.6648
Alvan,Illinois,249,40.307,-87.6069
Alvarado,Minnesota,362,48.1929,-96.9985
Alvarado,Texas,4530,32.4068,-97.2149
Alvin,Texas,26723,29.3871,-95.2933
Alvo,Nebraska,137,40.8723,-96.3867
Alvord,Iowa,201,43.3418,-96.3026
Alvord,Texas,1573,33.3569,-97.696
Amador City,California,190,38.419,-120.823
Amagon,Arkansas,90,35.5632,-91.1094
Amalga,Utah,558,41.8565,-111.897
Amanda,Ohio,738,39.6501,-82.7422
Amarillo,Texas,199371,35.1988,-101.831
Amazonia,Missouri,321,39.8888,-94.8926
Amber,Oklahoma,480,35.1602,-97.882
Amberg,Wisconsin,717,45.5062,-87.9874
Amberley,Ohio,3543,39.2035,-84.4283
Ambia,Indiana,227,40.4894,-87.5165
Amboy,Illinois,2321,41.7288,-89.3686
Amboy,Indiana,358,40.6017,-85.9271
Amboy,Minnesota,507,43.888,-94.1582
Ambrose,Georgia,379,31.5944,-83.0137
Ambrose,North Dakota,24,48.9559,-103.481
Amelia,Ohio,5039,39.0229,-84.2184
Amenia,North Dakota,96,47.0065,-97.2241
American Canyon,California,20475,38.1796,-122.258
American Falls,Idaho,4315,42.7828,-112.854
American Fork,Utah,33161,40.3792,-111.795
Americus,Georgia,15108,32.0736,-84.2249
Americus,Kansas,879,38.5066,-96.2616
Amery,Wisconsin,2812,45.3045,-92.3635
Ames,Iowa,66258,42.0259,-93.6215
Ames,New York,139,42.8373,-74.6016
Ames,Oklahoma,241,36.2471,-98.1867
Ames,Texas,1201,30.0451,-94.7373
Amesville,Ohio,153,39.4016,-81.9549
Amherst,Massachusetts,39924,42.3645,-72.5069
Amherst,Nebraska,253,40.8385,-99.2694
Amherst,Ohio,12219,41.4022,-82.2303
Amherst,Texas,660,34.012,-102.415
Amherst,Virginia,2180,37.5816,-79.0509
Amherst,Wisconsin,1361,44.4475,-89.2832
Amherst Junction,Wisconsin,383,44.4687,-89.3167
Amidon,North Dakota,23,46.4823,-103.319
Amite City,Louisiana,4436,30.7323,-90.5133
Amity,Arkansas,685,34.2662,-93.4634
Amity,Missouri,53,39.8683,-94.4354
Amity,Oregon,1724,45.1155,-123.203
Amityville,New York,9399,40.6696,-73.4156
Ammon,Idaho,17115,43.4746,-111.957
Amo,Indiana,431,39.6889,-86.6127
Amoret,Missouri,180,38.2549,-94.5873
Amorita,Oklahoma,38,36.924,-98.2936
Amory,Mississippi,6794,33.9813,-88.4823
Amsterdam,Missouri,229,38.3495,-94.589
Amsterdam,New York,17766,42.942,-74.1907
Amsterdam,Ohio,472,40.4717,-80.9217
Anacoco,Louisiana,783,31.2545,-93.344
Anacortes,Washington,17527,48.4878,-122.629
Anadarko,Oklahoma,6504,35.0652,-98.2441
Anaheim,California,350365,33.839,-117.857
Anahuac,Texas,2339,29.7649,-94.6787
Anamoose,North Dakota,244,47.8827,-100.242
Anamosa,Iowa,5537,42.1091,-91.2758
Anawalt,West Virginia,179,37.3364,-81.4406
Anchor,Illinois,140,40.5681,-88.5385
Anchorage,Kentucky,2423,38.2689,-85.5363
Andale,Kansas,987,37.7914,-97.6273
Andalusia,Alabama,8680,31.3101,-86.4781
Andalusia,Illinois,1148,41.4374,-90.7165
Anderson,Alabama,267,34.9147,-87.2716
Anderson,California,10630,40.4497,-122.295
Anderson,Indiana,54765,40.0891,-85.6893
Anderson,Missouri,1919,36.6533,-94.4442
Anderson,South Carolina,27676,34.5211,-82.6479
Anderson,Texas,242,30.4871,-95.9899
Andersonville,Georgia,221,32.1966,-84.1455
Andover,Illinois,572,41.2949,-90.2907
Andover,Iowa,98,41.9799,-90.2529
Andover,Kansas,13405,37.6869,-97.1354
Andover,Minnesota,33140,45.2571,-93.3265
Andover,Ohio,1095,41.6066,-80.5687
Andover,South Dakota,82,45.4102,-97.9037
Andrew,Iowa,408,42.1533,-90.5921
Andrews,Indiana,1137,40.8604,-85.6023
Andrews,North Carolina,1846,35.1994,-83.8258
Andrews,South Carolina,2859,33.4494,-79.566
Andrews,Texas,14109,32.3208,-102.552
Aneta,North Dakota,210,47.6795,-97.9897
Angel Fire,New Mexico,1070,36.3821,-105.272
Angelica,Wisconsin,1763,44.675,-88.3215
Angels,California,3956,38.0707,-120.55
Angie,Louisiana,249,30.9633,-89.8177
Angier,North Carolina,5415,35.512,-78.7405
Angleton,Texas,19431,29.1718,-95.4291
Angola,Indiana,8732,41.6433,-85.0051
Angola,New York,2101,42.6379,-79.0295
Anguilla,Mississippi,625,32.9719,-90.8284
Angus,Texas,429,31.9976,-96.427
Anita,Iowa,900,41.4438,-94.7658
Aniwa,Wisconsin,531,45.0117,-89.2089
Ankeny,Iowa,67355,41.7285,-93.6033
Anmoore,West Virginia,734,39.2611,-80.2862
Ann Arbor,Michigan,119980,42.2755,-83.7312
Anna,Illinois,4100,37.4612,-89.2388
Anna,Ohio,1520,40.3958,-84.176
Anna,Texas,15000,33.347,-96.5503
Anna Maria,Florida,1762,27.5297,-82.7339
Annabella,Utah,810,38.7059,-112.059
Annada,Missouri,28,39.2621,-90.8287
Annandale,Minnesota,3517,45.2598,-94.1205
Annapolis,Maryland,39223,38.9706,-76.5047
Annapolis,Missouri,343,37.3605,-90.6975
Annawan,Illinois,853,41.3958,-89.8881
Annetta,Texas,3248,32.6938,-97.6581
Annetta North,Texas,568,32.7193,-97.6723
Annetta South,Texas,573,32.6742,-97.6481
Anniston,Alabama,21287,33.6712,-85.8136
Anniston,Missouri,208,36.8243,-89.3267
Annona,Texas,288,33.5818,-94.913
Anoka,Minnesota,17549,45.2099,-93.3893
Anoka,Nebraska,5,42.946,-98.8285
Anselmo,Nebraska,138,41.6186,-99.8645
Ansley,Nebraska,425,41.2863,-99.3825
Anson,Texas,2297,32.755,-99.8962
Ansonia,Connecticut,18654,41.3443,-73.0689
Ansonia,Ohio,1121,40.2141,-84.6344
Ansonville,North Carolina,589,35.1041,-80.1097
Ansted,West Virginia,1305,38.1357,-81.1037
Antelope,Oregon,50,44.9113,-120.724
Anthon,Iowa,561,42.3881,-95.8657
Anthony,Kansas,2070,37.1573,-98.0408
Anthony,New Mexico,9239,32.0132,-106.598
Anthony,Texas,5352,31.9876,-106.593
Anthonyville,Arkansas,147,35.0398,-90.3403
Antigo,Wisconsin,7767,45.1413,-89.1556
Antimony,Utah,121,38.103,-111.982
Antioch,California,111502,37.9789,-121.796
Antioch,Illinois,14175,42.4742,-88.0721
Antioch,Ohio,79,39.6608,-81.0668
Antler,North Dakota,26,48.9713,-101.283
Antlers,Oklahoma,2321,34.2325,-95.6214
Antoine,Arkansas,108,34.0343,-93.4226
Anton,Texas,1095,33.8113,-102.162
Antonito,Colorado,747,37.0763,-106.01
Antwerp,Ohio,1683,41.1798,-84.7377
Apache,Oklahoma,1393,34.8938,-98.3581
Apache Junction,Arizona,42571,33.3985,-111.535
Apalachicola,Florida,2354,29.7282,-84.994
Apex,North Carolina,59300,35.7239,-78.8728
Aplington,Iowa,1050,42.5819,-92.8835
Apopka,Florida,53447,28.7014,-81.5304
Appalachia,Virginia,1533,36.9098,-82.7882
Apple Creek,Ohio,1180,40.7486,-81.8333
Apple River,Illinois,343,42.5022,-90.0937
Apple Valley,California,73453,34.5328,-117.21
Apple Valley,Minnesota,55135,44.7457,-93.2006
Apple Valley,Utah,844,37.081,-113.103
Appleby,Texas,446,31.717,-94.6078
Applegate,Michigan,232,43.3554,-82.6371
Appleton,Minnesota,1325,45.1997,-96.0225
Appleton,Wisconsin,74098,44.2779,-88.3891
Appleton City,Missouri,1080,38.1906,-94.031
Appomattox,Virginia,1794,37.3591,-78.8269
Aquilla,Ohio,338,41.5465,-81.173
Aquilla,Texas,113,31.8548,-97.22
Arab,Alabama,8383,34.3309,-86.4991
Arabi,Georgia,564,31.8282,-83.7302
Aragon,Georgia,1336,34.0459,-85.0571
Aransas Pass,Texas,8388,27.8877,-97.1134
Arapaho,Oklahoma,803,35.5779,-98.9593
Arapahoe,Nebraska,976,40.3048,-99.8979
Arapahoe,North Carolina,535,35.0216,-76.826
Arbela,Missouri,42,40.4631,-92.0156
Arbyrd,Missouri,462,36.0535,-90.2399
Arcade,Georgia,1972,34.0694,-83.5399
Arcadia,California,57939,34.1342,-118.037
Arcadia,Florida,8314,27.2213,-81.8587
Arcadia,Indiana,1662,40.1742,-86.021
Arcadia,Iowa,520,42.0862,-95.0432
Arcadia,Kansas,309,37.6409,-94.6239
Arcadia,Louisiana,2700,32.5506,-92.9218
Arcadia,Missouri,559,37.5864,-90.6293
Arcadia,Nebraska,305,41.4249,-99.126
Arcadia,Ohio,588,41.1078,-83.5144
Arcadia,Oklahoma,270,35.6655,-97.3255
Arcadia,Wisconsin,3040,44.2486,-91.4915
Arcadia Lakes,South Carolina,874,34.0536,-80.9615
Arcanum,Ohio,2008,39.9923,-84.5543
Arcata,California,18431,40.8615,-124.076
Archbold,Ohio,4319,41.5165,-84.3036
Archdale,North Carolina,11513,35.9033,-79.9592
Archer,Florida,1198,29.54,-82.5186
Archer,Iowa,124,43.1151,-95.7442
Archer City,Texas,1702,33.5937,-98.6257
Archer Lodge,North Carolina,5159,35.6907,-78.3749
Archie,Missouri,1202,38.4826,-94.3502
Arco,Idaho,880,43.6316,-113.302
Arco,Minnesota,69,44.3814,-96.1812
Arcola,Illinois,2831,39.6833,-88.3013
Arcola,Mississippi,321,33.2705,-90.88
Arcola,Missouri,53,37.5493,-93.8761
Arcola,Texas,2663,29.5032,-95.4693
Arden,Delaware,440,39.8113,-75.4886
Arden Hills,Minnesota,10281,45.0721,-93.167
Ardencroft,Delaware,216,39.8056,-75.4862
Ardentown,Delaware,270,39.8081,-75.4807
Ardmore,Alabama,1463,34.9847,-86.8373
Ardmore,Oklahoma,24698,34.1944,-97.1253
Ardmore,Tennessee,1221,35.0031,-86.8547
Ardoch,North Dakota,78,48.2054,-97.338
Ardsley,New York,4502,41.0135,-73.8395
Aredale,Iowa,69,42.8332,-93.0054
Arena,Wisconsin,1498,43.1636,-89.9104
Arenzville,Illinois,367,39.8805,-90.3706
Argenta,Illinois,877,39.9855,-88.8197
Argo,Alabama,4348,33.6961,-86.5066
Argonia,Kansas,471,37.2679,-97.7629
Argonne,Wisconsin,506,45.6582,-88.8777
Argos,Indiana,1626,41.2379,-86.2523
Argusville,North Dakota,468,47.0501,-96.9431
Argyle,Georgia,208,31.0732,-82.6489
Argyle,Minnesota,642,48.3366,-96.8162
Argyle,Missouri,160,38.2954,-92.0256
Argyle,Texas,4381,33.1105,-97.1864
Argyle,Wisconsin,811,42.7014,-89.8657
Arimo,Idaho,364,42.5598,-112.173
Arion,Iowa,107,41.9482,-95.4623
Arispe,Iowa,97,40.948,-94.2192
Ariton,Alabama,739,31.5978,-85.7131
Arkadelphia,Arkansas,10726,34.1255,-93.0725
Arkansas City,Arkansas,315,33.609,-91.2048
Arkansas City,Kansas,11669,37.0726,-97.0385
Arkoe,Missouri,64,40.2594,-94.8279
Arkoma,Oklahoma,1899,35.3374,-94.4438
Arkport,New York,791,42.3926,-77.6955
Arley,Alabama,345,34.0886,-87.2074
Arlington,Georgia,1326,31.4383,-84.7253
Arlington,Illinois,181,41.4718,-89.2481
Arlington,Iowa,399,42.7488,-91.6711
Arlington,Kansas,449,37.8963,-98.1781
Arlington,Kentucky,301,36.7904,-89.0132
Arlington,Minnesota,2146,44.6083,-94.0766
Arlington,Nebraska,1315,41.4548,-96.3562
Arlington,Ohio,1442,40.8939,-83.6529
Arlington,Oregon,600,45.7207,-120.189
Arlington,South Dakota,859,44.3635,-97.1338
Arlington,Tennessee,11743,35.2594,-89.668
Arlington,Texas,398854,32.6998,-97.125
Arlington,Washington,20523,48.1698,-122.144
Arlington,Wisconsin,820,43.335,-89.3725
Arlington Heights,Illinois,74760,42.0955,-87.9825
Arlington Heights,Ohio,741,39.2153,-84.4555
Arma,Kansas,1420,37.543,-94.7024
Armada,Michigan,1715,42.8424,-82.8832
Armington,Illinois,323,40.3397,-89.3143
Armour,South Dakota,669,43.319,-98.3448
Armstrong,Iowa,840,43.3945,-94.4834
Armstrong,Missouri,276,39.2692,-92.7042
Armstrong,Oklahoma,116,34.0528,-96.3446
Arnaudville,Louisiana,1046,30.4021,-91.932
Arnegard,North Dakota,175,47.8084,-103.439
Arnett,Oklahoma,481,36.135,-99.7712
Arnold,Missouri,21091,38.4296,-90.3733
Arnold,Nebraska,568,41.4232,-100.194
Arnold,Pennsylvania,4831,40.5789,-79.7653
Arnolds Park,Iowa,1313,43.3601,-95.1265
Arnoldsville,Georgia,366,33.9103,-83.2181
Aroma Park,Illinois,682,41.0788,-87.8011
Arp,Texas,1030,32.2279,-95.0536
Arpin,Wisconsin,901,44.5394,-90.0315
